rice,weed,pest,straw,bird,herbicide,frog,snake
17463.16119,8485.87167,638.9152481,1237.65344,1107.686262,490.4357294,308.4904908,88.40985635
20888.15455,12580.31249,681.9969568,1158.353598,1122.53011,8731.089535,308.4629947,89.08642731
23548.66547,8079.217653,742.1936531,1085.005953,1162.625968,4365.544767,310.9513882,89.88413278
26141.51671,9177.235304,801.2392606,1003.932473,1218.636953,2182.772384,318.0514349,90.13553491
28902.79886,12138.94162,876.9190942,909.0825333,1285.49377,1091.386192,327.2201884,90.96439053
30439.10564,14387.29995,944.9300617,798.1806592,1348.826597,545.6930959,335.1118381,91.62378709
31275.42596,16308.5385,1031.40913,686.8098551,1429.222544,272.846548,349.5106175,92.76306261
31745.17586,16483.90604,1117.267526,562.7685446,1494.58274,136.423274,365.1525262,94.33267508
31359.7906,17132.22287,1184.080077,436.0069349,1577.682774,68.21163699,383.7091263,96.15373912
31529.44345,16370.86099,1267.463026,295.1927669,1671.183598,34.10581849,399.5299378,98.4076976
3958.281667,16052.81636,1322.98346,2974.16112,1772.956547,17.05290925,416.0736228,100.4838409
4842.790776,16218.4681,1358.613873,2824.409266,1891.766581,8.526454624,434.5019016,103.0607984
5850.550929,16649.44442,1411.952733,2657.634968,1995.648372,16222.73132,457.8627765,104.8140517
7028.740908,3828.120427,1368.412888,2490.39785,1905.285944,8111.365662,476.6728775,107.6106896
8258.233547,0,1344.204566,2334.326846,1857.233708,4055.682831,492.0401645,110.5100732
9916.736438,3016.068289,1335.883277,2170.611858,1832.861059,2027.841415,507.0237776,113.45717
11588.30303,4037.665693,1250.102373,2015.219451,1672.763427,1013.920708,511.0409472,115.6897258
13451.38979,5957.418228,1172.401128,1866.123338,1539.670155,506.9603539,511.6315811,117.2604285
14928.81743,8418.701307,1189.826087,1714.190587,1489.820121,6210.898405,514.7894346,118.1465616
16491.75827,5361.763899,1226.032999,1572.130199,1498.042262,3105.449203,508.5876391,118.4690753
17960.15347,6036.483936,1283.588623,1417.764509,1515.24244,1552.724601,500.2144391,117.7334654
19053.97382,7585.06589,1361.8026,1256.735468,1548.94646,776.3623007,493.8224775,117.4252981
19581.55479,8967.919871,1435.647383,1091.835502,1575.039695,388.1811503,501.1918019,117.6341793
20471.08688,10084.27899,1481.488112,924.3246347,1618.028365,194.0905752,504.4746385,117.5488596
20189.39665,11054.10443,1532.797395,740.273126,1667.82874,97.04528758,510.4117586,116.9225164
20666.81025,11339.62881,1547.535469,560.6791835,1732.699792,48.52264379,519.2647756,117.0021959
21260.40697,10994.66498,1544.69374,382.4860912,1791.201574,24.2613219,532.7482538,117.0968826
21446.41872,11241.85977,1560.120915,192.2158803,1843.325733,12.13066095,548.2020696,117.6218588
2421.60258,11393.11387,1574.682516,1946.753937,1914.67464,6.065330474,553.6489042,118.6739644
2659.600585,11452.34769,1583.836273,1774.220044,1974.14383,11396.14653,559.5631808,120.1744102
2951.561763,2394.621101,1595.597262,1591.259516,2015.180091,5698.073266,562.2113849,121.4250143
3253.448456,0,1421.357934,1397.685287,1791.045099,2849.036633,568.1169513,122.8930827
3758.303283,982.3358872,1298.747273,1222.078614,1661.295913,1424.518316,574.2231722,124.0080581
4314.059659,769.9620088,1004.136992,1070.235509,1282.639713,712.2591582,578.0099919,125.4438708
5118.088961,1283.041995,741.69003,948.1205037,969.2635648,356.1295791,569.2443017,126.2924786
5976.745914,2380.000379,657.561063,862.4529998,874.5120413,1461.106785,554.3155276,126.0082897
7104.089049,2891.601254,602.1282958,787.056978,811.5810231,730.5533923,508.1543892,123.4692349
8415.511288,4284.024506,566.7924524,712.8539353,777.3126118,365.2766961,435.309994,119.422978
9704.185915,5997.768036,574.1910961,648.2505751,773.3042184,182.6383481,383.4726892,115.2649952
11508.21492,7984.391567,593.1262609,582.4710299,778.2557618,91.31917403,347.1211624,110.8186163
13603.5983,9864.037051,615.1187925,508.5344032,798.5038473,45.65958702,323.4092492,105.2912135
15621.63858,12023.95971,642.1978192,434.4975959,832.2658945,22.82979351,314.714303,99.91549604
17605.54899,13760.23789,671.159033,356.6483104,862.3677174,11.41489675,313.7993434,95.19350596
19405.56001,15976.61135,700.3860512,278.3633624,916.3940973,5.707448377,314.994927,91.76108745
21274.32581,15759.79922,719.7527682,191.5181706,964.2238091,2.853724189,319.3064191,89.49924756
4321.521781,16005.01185,733.0102812,2018.509612,1026.991767,1.426862094,325.6725071,88.51205278
5254.688705,16330.43945,749.2507725,1933.480193,1098.477536,16005.72528,334.2271371,88.21886303
6525.176615,4117.291513,771.1117907,1846.095086,1167.669538,8002.86264,339.7837907,88.40693641
8359.751548,0,766.5636403,1759.586472,1184.172381,4001.43132,346.579196,89.57381004
10473.20412,3478.362822,782.4700791,1666.064103,1205.017092,2000.71566,350.7364098,90.48173271
12685.85616,5749.650433,776.2468184,1578.486212,1168.063988,1000.35783,358.0428685,91.75310507
15616.77997,8443.627233,769.0258002,1488.671027,1117.132951,500.178915,360.6482531,92.90596815
18714.26537,12042.12769,803.4946411,1391.693735,1134.099763,8693.71669,361.7723342,94.16710407
21264.37893,8472.126965,869.9342683,1295.117859,1167.565779,4346.858345,362.097491,94.86011352
